Plain Wikipedia Summary	Simple Wikipedia Summary	ID
"Black-body radiation is the thermal electromagnetic radiation within or surrounding a body in thermodynamic equilibrium with its environment, emitted by a black body (an idealized opaque, non-reflective body).  It has a specific spectrum of wavelengths, inversely related to intensity that depend only on the body's temperature, which is assumed for the sake of calculations and theory to be uniform and constant.The thermal radiation spontaneously emitted by many ordinary objects can be approximated as black-body radiation.  A perfectly insulated enclosure that is in thermal equilibrium internally contains black-body radiation and will emit it through a hole made in its wall, provided the hole is small enough to have a negligible effect upon the equilibrium."	"Blackbody radiation is radiation produced by heated objects, particularly from a blackbody. A blackbody is an object that absorbs all radiation (visible light, infrared light, ultraviolet light, etc.) that falls on it. This also means that it will also radiate at all frequencies that heat energy produces in it."	53
"Abdirahman Jama Barre (Somali: Cabdiraxmaan Jaamac Barre, Arabic: ___ ______ ____ ____) (1937 – 15 August 2017) was a Somali politician. He twice served as the Minister of Foreign Affairs of the Somali Democratic Republic, and later as the Minister of Finance. He was also the 1st Deputy Prime Minister of Somalia."	"Abdirahman Jama Barre (Somali: Cabdiraxmaan Jaamac Barre, Arabic: ___ ______ ____ _____) (1937 – 15 August 2017) was a Somali politician. He twice served as the Minister of Foreign Affairs of the Somali Democratic Republic, and later as the Minister of Finance. He was also the 1st Deputy Prime Minister of Somalia. He served all three positions at the same time from 1987 through 1991. "	54
"Commodore Laurence Phillip Brokenshire CBE (1952–2017), known as Laurie Brokenshire, was a Royal Naval officer, magician and world-class puzzle solver."	"Commodore Laurence Phillip Brokenshire CBE, RN (20 October 1952 – 4 August 2017) was a British navy officer and magician. He was born in Plymouth, Devon. He studied at the University of Exeter. His career developed as a submariner and later as a senior Royal Navy officer. He retired as officer in 2003. Laurie was accepted into the Inner Magic Circle, and became an occasional professional / semi-professional magic performer."	55
"Pertti Johannes Alaja (18 February 1952 – 18 August 2017) was a Finnish footballer who played as a goalkeeper.Alaja was elected as the 15th president of the Football Association of Finland on 14 October 2012, replacing Sauli Niinistö."	"Pertti Johannes Alaja (18 February 1952 – 18 August 2017) was a Finnish footballer. He was born in Helsinki, Finland. He played as a goalkeeper. He played for HJK, Haka, Oulun Työväen Palloilijat, Ikast, Edmonton Drillers, Malmö FF and for the Finland national football team.Alaja was elected as the 15th president of the Football Association of Finland on 14 October 2012, replacing Sauli Niinistö.Alaja died in Espoo, Finland, on 18 August 2017 of cancer at the age of 65."	56
"The 2017 Turku attack took place on 18 August 2017 at around 16:02–16:05 local time (UTC+3) when 10 people were stabbed in central Turku, Southwest Finland. Two women were killed in the attack and eight people sustained injuries. It remains the only terrorist attack ever in Finland.Police were informed at 16:02. Three minutes later the attacker, Abderrahman Bouanane, a Moroccan rejected asylum seeker, had been detained. At the time of his arrest, Bouanane was using the name Abderrahman Mechkah, which was later discovered to be a false identity. In June 2018, Bouanane was found guilty of two counts of murder with terrorist intent and eight counts of attempted murder with terrorist intent. It was the first time anybody had been sentenced for a terrorist crime in Finland."	"On 18 August 2017, around 16:00 local time (UTC+3), several people were stabbed in central Turku, Finland. Alarm was first raised at 16:02 and by 16:05 the suspect had been captured. At least two people died in the attack."	57
"The 2017 Turku attack took place on 18 August 2017 at around 16:02–16:05 local time (UTC+3) when 10 people were stabbed in central Turku, Southwest Finland. Two women were killed in the attack and eight people sustained injuries. It remains the only terrorist attack ever in Finland.Police were informed at 16:02. Three minutes later the attacker, Abderrahman Bouanane, a Moroccan rejected asylum seeker, had been detained. At the time of his arrest, Bouanane was using the name Abderrahman Mechkah, which was later discovered to be a false identity. In June 2018, Bouanane was found guilty of two counts of murder with terrorist intent and eight counts of attempted murder with terrorist intent. It was the first time anybody had been sentenced for a terrorist crime in Finland."	"On 18 August 2017, around 16:00 local time (UTC+3), several people were stabbed in central Turku, Finland. Alarm was first raised at 16:02 and by 16:05 the suspect had been captured. At least two people died in the attack."	58
"Sapa'u Ruperake Petaia (born 11 April 1951) is a poet and writer from Samoa. His poem Blue Rain became the title of a collection of his poems first published in 1980 with later editions in the 1990s. The collection included the satirical poem Kidnapped (1974) which explores themes about the loss of traditional Samoan knowledge. Like other Samoan writers such as Albert Wendt, Petaia's work explores themes about the effects of colonialism and Western influences on Samoan culture and society.Petaia was born in Samoa. He attended Samoa College and worked as a clerk in the Public Service Commission in 1973. In 1978 he won a government scholarship to study at the University of the South Pacific in Fiji."	Sapa'u Ruperake Petaia (born 11 April 1951) is a Samoan poet and writer. 	59
"Herman Mandui (1969 – October 4, 2014) was a Papua New Guinean archaeologist. He served as the Chief Archaeologist of Papua New Guinea starting in 2008 until his death in 2014. He has been regarded as a ""pioneer of archeological research"" in Papua New Guinea, having worked on such sites as the Kuk Swamp in Western Highlands Province and the early human settlement sites in the Ivane Valley of the Goilala District."	"Herman Mandui (1969 - October 4, 2014) was an archaeologist from Papua New Guinea."	60
"Daniel Catán (April 3, 1949 – April 9, 2011) was a Mexican composer, writer and professor known particularly for his operas and his contribution of the Spanish language to the international repertory.With a compositional style described as lush, romantic and lyrical, Catán’s second opera, Rappaccini’s Daughter, became the first Mexican opera in the United States to be produced by a professional opera company.  Upon receiving international recognition, Catán’s next opera, Florencia en el Amazonas, became the first opera in Spanish to be commissioned by an opera company in the United States.  Shortly after, Catán received a Plácido Domingo Award and a Guggenheim Fellowship Award for his contributions to music.  In 2004, Catán’s opera Salsipuedes: a Tale of Love, War and Anchovies was premiered by the Houston Grand Opera.  In September 2010, his opera Il Postino was premiered by the Los Angeles Opera with Plácido Domingo singing as Pablo Neruda, a role written specifically for him.  Catán died while working on his next opera, Meet John Doe.Catán’s works also include vocal, chamber, orchestral and choral music as well as music for ballet, film and TV."	"Daniel Catán Porteny (3 April 1949 in Mexico City - 9 April 2011 in Austin, Texas) was a Mexican opera composer of Jewish descent. He is best known for turning the Italian movie, Il Postino, into an opera. He was working at the University of Texas at Austin on a new opera based on the Frank Capra movie, Meet John Doe."	61
"Blue-eyed soul (also known as white soul) is rhythm and blues and soul music performed by white artists.  The term was coined in the mid-1960s, to describe white artists who performed soul and R&B that was similar to the music of the Motown and Stax record labels.  Though many rhythm and blues radio stations in the United States in that period would only play music by black musicians, some began to play music by white acts considered to have ""soul feeling"" and their music was then described as ""blue-eyed soul""."	Blue Eyed Soul is a term used to describe Soul and R&B music sung by white people. The term was first used in the 1960s about white artists performing music which was similar to the music being performed by Motown artists. It is sometimes called white soul.	62
"Banca Monte dei Paschi di Siena S.p.A. (Italian pronunciation: [_ba_ka _monte dei _paski di _sj__na]), known as BMPS or just MPS, is an Italian bank. Tracing its history to a mount of piety founded in 1472 (548 years ago) and founded in its present form in 1624 (396 years ago), it is the world's oldest or second oldest bank, depending on the definition, and the fourth largest Italian commercial and retail bank.In 1995 the bank, then known as Monte dei Paschi di Siena, was transformed from a statutory corporation to a limited company called Banca Monte dei Paschi di Siena (Banca MPS). The Fondazione Monte dei Paschi di Siena was created to continue the charitable functions of the bank and to be, until the bailout in 2013, its largest single shareholder. Today Banca MPS has approximately 2,000 branches, 26,000 employees and 5.1 million customers in Italy, as well as branches and businesses abroad. A subsidiary, MPS Capital Services, handles corporate and investment banking.According to a research by Mediobanca and a press release by Banco BPM, Banco BPM overtook BMPS as the third largest commercial banking group in Italy in terms of total assets on 31 December 2016, after Banco BPM's formal formation on 1 January 2017. In 2016–17, BMPS was struggling to avoid a collapse, and was bailed out again by the Italian government in July 2017."	"Banca Monte dei paschi di Siena (sometimes referred to as BMPS or MPS) claims to be the oldest surviving retail bank in the world. It has its headquarters in Siena, Italy."	63
"Guebwiller (French: Guebwiller, pronounced [_ebvil__]; Alsatian: Gàwiller [_ka_vil__]; German: Gebweiler) is a commune in the Haut-Rhin department in Grand Est currently in north-eastern France."	Guebwiller is a commune in the Haut-Rhin department in Grand Est of eastern France.	64
"Natural science is a branch of science concerned with the description, prediction, and understanding of natural phenomena, based on empirical evidence from observation and experimentation. Mechanisms such as peer review and repeatability of findings are used to try to ensure the validity of scientific advances."	"There are some sciences that are used to study nature. According to these sciences, the things that can be observed in nature follow certain rules. These rules are often unknown, and natural sciences are about finding them. They often use what is called the scientific method to do this."	65
"Morges (Latin: Morgiis, plural, probably ablative, else dative) is a municipality in the Swiss canton of Vaud and the seat of the district of Morges. It is located on Lake Geneva."	Morges is a city in the Swiss canton of Vaud. It is the capital of the district Morges.	66
"Bell MTS Place is an indoor arena in downtown Winnipeg, Manitoba. The arena is the home of the National Hockey League's Winnipeg Jets and their American Hockey League affiliate, the Manitoba Moose.The arena stands on the former Eaton's site and is owned and operated by True North Sports & Entertainment. The 440,000 square feet (41,000 m2) building was constructed at a cost of $133.5 million CAD. It opened on November 16, 2004, replacing the since-demolished Winnipeg Arena. It has a capacity of 15,321 for hockey and 16,345 for concerts."	"Bell MTS Place, originally known as True North Centre and later as MTS Centre, is a sports arena in Winnipeg, Manitoba, Canada. The arena opened on November 16, 2004, and is the current home to the Winnipeg Jets of the National Hockey League (NHL). The arena was originally known as True North Centre during planning but naming rights were bought by Manitoba Telecom Services (MTS). After Bell Canada purchased MTS in spring 2017, the arena was renamed effective that May 30.The arena has been home to the Manitoba Moose of the American Hockey League (AHL), the Jets' top minor-league team, two different times. The team first played there from 2004 to 2011 before moving to St. John's, Newfoundland and Labrador, and then returned to Winnipeg in 2015."	67
"Varna (Bulgarian: _____, pronounced [_varn_]) is the third-largest city in Bulgaria and the largest city and seaside resort on the Bulgarian Black Sea Coast. Situated strategically in the Gulf of Varna, the city has been a major economic, social and cultural centre for almost three millennia. Varna, historically known as Odessos (Ancient Greek: _______), grew from a Thracian seaside settlement to a major seaport on the Black Sea."	Varna is a social concept from the Brahmin leaders of Hinduism in India	68
"Girard is a city in Trumbull County, Ohio, United States. The population was 9,958 at the 2010 census. It is part of the Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area."	"Girard is a city in Trumbull County, Ohio, United States. The population was 9,958 at the 2010 census. It is part of Mahoning Valley."	69
"The WWE Championship is a world heavyweight championship created and promoted by the American professional wrestling promotion WWE, currently defended on their Raw brand. It is one of WWE's top three titles, alongside the Universal Championship on SmackDown and the NXT Championship on NXT. The current champion is Drew McIntyre, who is in his first reign."	The WWE Championship is a professional wrestling world championship in WWE. It is the first world title of WWE. The title is said to be the biggest prize in professional wrestling and millions of people around the world watch matches for it.	70
"Smarta tradition (_______) is a movement in Hinduism that developed during its classical period around the beginning of the Common Era. It reflects a Hindu synthesis of four philosophical strands: Mimamsa, Advaita, Yoga, and theism. The Smarta tradition rejects theistic sectarianism, and it is notable for the domestic worship of five shrines with five deities, all treated as equal – Shiva, Vishnu, Surya, Ganesha, and Shakti. The Smarta tradition contrasted with the older Shrauta tradition, which was based on elaborate rituals and rites. There has been considerable overlap in the ideas and practices of the Smarta tradition with other significant historic movements within Hinduism, namely Shaivism, Brahmanism, Vaishnavism, and Shaktism.The Smarta tradition is aligned with Advaita Vedanta, and regards Adi Shankara as its founder or reformer. Shankara championed that the ultimate reality is impersonal and Nirguna (attributeless) and that any symbolic god serves the same equivalent purpose. Inspired by this belief, the Smarta tradition followers, along with the five Hindu gods include a sixth impersonal god in their practice. The tradition has been called by William Jackson as ""advaitin, monistic in its outlook"".The term Smarta also refers to Brahmins who specialize in the Smriti corpus of texts named the Grihya Sutras, in contrast to Shrauta Sutras. Smarta Brahmins with their focus on the Smriti corpus, contrast from Srauta Brahmins who specialize in the Sruti corpus, that is rituals and ceremonies that follow the Vedas."	"Smartism is a sect of Hinduism in which, in contrast with Shaivism and Vaishnavism, one may worship multiple gods. It is often referred as a ""liberal"" sect and is passed along familial ties."	71
"Lilly Singh (born September 26, 1988) is a Canadian YouTuber, comedian, talk show host, writer, and actress, who initially gained fame on social media under the pseudonym IISuperwomanII. Born and raised in Scarborough, Ontario, Singh began making YouTube videos in 2010. By 2017, she was ranked tenth on the Forbes list of the world's highest paid YouTube stars, earning a reported $10.5 million; as of September 2019 she has fourteen million subscribers and over three billion video views. Singh has featured in the annual YouTube Rewind every year since 2014 (except for 2019). Forbes named her one of the 40 most powerful people in comedy in 2019. Singh has received an MTV Fandom Award, four Streamy Awards, two Teen Choice Awards, and a People's Choice Award."	"Lilly Singh (born 26 September 1988) is a Canadian YouTuber, vlogger, comedian, writer and actress. She is mostly known by her YouTube username IISuperwomanII."	72
"Pyotr Stepanovich Deynekin (14 December 1937 – 19 August 2017) was a Russian military general. He was born in Morozovsk, Russia. In 1997, he was awarded the Hero of the Russian Federation.Deynekin's rank was General of the army."	"Pyotr Stepanovich Deynekin (14 December 1937 – 19 August 2017) was a Soviet-Russian general. He was born in Morozovsk, Russia. In 1997, he was awarded the Hero of the Russian Federation."	73
"Alfonso Azpiri Mejía (17 January 1947 _ August 18, 2017) was a Spanish comic book artist, whose work was mainly of the adult variety."	"Alfonso Azpiri (1947 – August 18, 2017) was a Spanish comic book artist, whose work was mainly of the adult variety. He was born in Madrid. His work has been translated and published in a number of magazines, including Heavy Metal and Penthouse Comix. "	74
Duncan Russell (12 March 1958 – 18 August 2017) was an English football manager who was in charge of Conference National side Mansfield Town and Hucknall Town.	"Duncan Russell (12 March 1958 – 18 August 2017) was an English football manager. He was born in London, England. He was the manager of Conference National side Mansfield Town until 12 May 2011 when they decided not to renew his contract.Russell died in London of liver cancer on 18 August 2017 at the age of 59."	75
"Janusz Andrzej G_owacki (13 September 1938 – 19 August 2017), better known as Janusz G_owacki or colloquially simply as G_owa, was a Polish playwright, essayist and screenwriter. G_owacki was the recipient of multiple awards and honours, including Guggenheim Fellowship, two Nike Award nominations and BAFTA Award nomination. He was awarded the Gloria Artis Gold Medal in 2005 for his contribution to Polish culture, and in 2014, the Commander's Cross of the Order of Polonia Restituta."	"Janusz G_owacki (13 September 1938 – 19 August 2017) was a Polish-American playwright, essayist and screenwriter. He was born in Pozna_, Poland. "	76
"Albert Austin ""Sonny"" Burgess (May 28, 1929 – August 18, 2017) was an American rockabilly guitarist and singer."	"Albert Austin ""Sonny"" Burgess (May 28, 1929 – August 18, 2017) was an American rockabilly guitarist and singer. He was born in Newport, Arkansas. He was known for working with fellow country musician D. J. Fontana. He gained popularity in Europe during most of his career. Burgess was inducted into the Rock and Roll Hall of Fame of Europe in 1999."	77
"Dominic Joseph Fontana (March 15, 1931 – June 13, 2018) was an American musician best known as the drummer for Elvis Presley for 14 years. In October 1954 he was hired to play drums for Presley, which marked the beginning of a fifteen-year relationship. He played on over 460 RCA cuts with Elvis."	"Dominic Joseph ""D. J."" Fontana (March 15, 1931 – June 13, 2018) was an American musician. He was born in Shreveport, Louisiana. He was best known as the drummer for Elvis Presley for 14 years. He played on over 460 RCA cuts with Elvis. He also played for The Blue Moon Boys and Sonny Burgess. "	78
"Donald John Shepherd (12 August 1927 – 18 August 2017) was a Welsh cricketer, who played for Glamorgan. One of the great county bowlers, he took more first-class wickets – 2,218 – than any other player who never played Test cricket."	"Donald John Shepherd (12 August 1927 – 18 August 2017) was a Welsh cricketer. He played for Glamorgan. One of the great county bowlers, he took more first-class wickets, 2,218 at 21.32 each, than any other player who never played Test cricket. He was born in Port Eynon, Glamorgan, Wales. "	79
"Venero Frank ""Benny Eggs"" Mangano (September 7, 1921 – August 18, 2017) was the underboss of the Genovese crime family. Since boss Daniel ""Danny the Lion"" Leo was imprisoned in 2007, Mangano was the family's senior leader outside prison. The nickname ""Benny Eggs"" was due to an egg store his mother had run. He was released on November 2, 2006, after serving a 15-year sentence for extortion and conspiracy."	"Venero Frank ""Benny Eggs"" Mangano (September 7, 1921 – August 18, 2017) was an American criminal. He was the underboss of the Genovese crime family. Since boss Daniel ""Danny the Lion"" Leo was imprisoned in 2007, Mangano was the family's senior leader outside prison. The nickname ""Benny Eggs"" came from his mother running an egg farm. He was released from prison on November 2, 2006, after serving a 15-year sentence for extortion."	80
"Dominick V. ""Quiet Dom"" Cirillo (born July 4, 1929 in East Harlem) is a high-ranking member of the Genovese crime family, who briefly served as acting boss for the imprisoned Boss Vincent ""Chin"" Gigante."	"Dominick Vincent ""Quiet Dom"" Cirillo (born July 4, 1929) is an American gangster. He is a high-ranking member of the Genovese crime family, who briefly served as acting boss for the imprisoned Boss Vincent ""Chin"" Gigante. He was born in Harlem, New York. "	81
Roger Pinto Molina (23 April 1960 – 16 August 2017) was a Bolivian right-wing politician.	"Roger Pinto Molina (23 April 1960 – 16 August 2017) was a Bolivian right-wing politician. Pinto was born in Santa Rosa, Beni. He was elected to the Chamber of Deputies in 1997, from the single-member constituency 67 in Pando (covering areas in the provinces Nicolás Suárez, Manuripi and General Federico Román) as a Nationalist Democratic Action (ADN) candidate."	82
"Lucien Norbert Nedzi (born May 28, 1925) is a former Democratic member of the United States House of Representatives from the State of Michigan.  Nedzi is of Polish descent."	"Lucien Norbert Nedzi (born May 28, 1925) is a Democratic Party member of the United States House of Representatives from the State of Michigan."	83
"Weston ""Wes"" Edward Vivian (born October 25, 1924) is a former politician from the U.S. state of Michigan."	"Weston ""Wes"" Edward Vivian (born October 25, 1924) is a Canadian-born American politician and retired engineer. He served as a member of the United States House of Representatives for Michigan's 2nd congressional district from January 3, 1965 through January 3, 1967. He was a member of the Democratic Party."	84
"Philip Edward Ruppe (born September 29, 1926) is a former politician from the U.S. state of Michigan and a member of the Republican Party. He served in the U.S. House of Representatives from 1967 to 1979 before running, unsuccessfully for the United States Senate in 1982. He is a Korean War veteran, having served as a lieutenant in the U.S. Navy. After leaving the U.S. House, Ruppe became active in business before running for election, without success, to the 103rd Congress."	"Philip Edward Ruppe (born September 29, 1926) is an American politician. He is a member of the Republican Party. He served in the U.S. House of Representatives from 1967 to 1979 before running, unsuccessfully for the United States Senate in 1982. "	85
"Dale Edward Kildee (born September 16, 1929) is a retired U.S. Representative from Michigan, serving from 1977 until 2013. He is a member of the Democratic Party."	"Dale Edward Kildee (born September 16, 1929) is an American politician. He was a U.S. Representative from Michigan, serving from 1977 until 2013. He is a member of the Democratic Party. "	86
"Sir Colin Earl Meads  (3 June 1936 – 20 August 2017) was a New Zealand rugby union player. He played 55 test matches (133 games), most frequently in the lock forward position, for New Zealand's national team, the All Blacks, from 1957 until 1971."	"Sir Colin Earl Meads (3 June 1936 – 20 August 2017) was a New Zealand rugby union player, coach and manager. He was born in Cambridge, New Zealand. He played 55 test matches (133 total games), most frequently in the lock forward position, for New Zealand's national team, the All Blacks, from 1957 until 1971."	87
"Sirkka Selja (20 March 1920 – 17 August 2017) was a Finnish poet and writer. She was born in Hämeenkoski, Finland. Her real name was Sirkka-Liisa Tulonen."	"Sirkka Selja (20 March 1920 – 17 August 2017) was a Finnish poet and writer. She was born in Koski Hl, nowadays Hollola, Finland. Her real name was Sirkka-Liisa Tulonen."	88
